channel,freq_hz,n_day,n_night,t_stat,p_value,power
15,48.0,17,14,3.813698137010901,0.0011554627484031451,0.9231149614367777
15,49.0,17,14,3.811612834232474,0.0011670485707210268,0.9226941551245965
15,47.0,17,14,3.8043958825451,0.0011733661430733701,0.9220965733487388
15,50.0,17,14,3.801488346249057,0.0011998424717438616,0.9212495051187947
15,46.0,17,14,3.780979676678696,0.0012293824064985206,0.9192483536790271
15,51.0,17,14,3.7874493763692363,0.0012439837873440948,0.919281665283371
15,52.0,17,14,3.7738640104079764,0.0012882727942840394,0.9173403994174825
15,59.0,17,14,3.7897466864856124,0.0012965929480671249,0.9181777764022494
15,58.0,17,14,3.7856391434802528,0.0013032747556267089,0.9177511456063159
15,60.0,17,14,3.78657512551988,0.0013078801450202042,0.9177073502687043
15,57.0,17,14,3.777674844986068,0.0013187921289358445,0.9168641589132375
15,53.0,17,14,3.764285217122778,0.001322708856510712,0.915895651971294
15,56.0,17,14,3.7690919163501744,0.0013348306067669118,0.9159233093358806
15,45.0,17,14,3.7411399831918426,0.0013349657117402904,0.914132734477176
15,54.0,17,14,3.760558158014725,0.0013415289207180557,0.9152052860391329
15,55.0,17,14,3.76264142261569,0.001344342656041142,0.9152754364911829
15,61.0,17,14,3.77346182725613,0.0013453597348549746,0.9159720087684131
15,62.0,17,14,3.749804251947407,0.0014136218868109293,0.9128201151638883
15,44.0,17,14,3.6835598819995616,0.0015053789881080992,0.9062981061530412
15,63.0,17,14,3.7178506246463017,0.0015108675352027135,0.9084385273885524
15,64.0,17,14,3.6821875895117055,0.0016276843726575464,0.9033559607285618
15,65.0,17,14,3.6478810806181667,0.0017495916751291655,0.8982579940053995
15,43.0,17,14,3.6091972439303186,0.0017575404014302846,0.8954663277150842
15,66.0,17,14,3.6181125860588805,0.0018643737844888989,0.8936477126811111
15,67.0,17,14,3.5926152412484686,0.001970695696226016,0.8895399988538236
15,68.0,17,14,3.5679430137804817,0.0020810785886972278,0.8854232086899373
15,42.0,17,14,3.5219855047188333,0.0021047619979647045,0.8817768377742481
15,69.0,17,14,3.539612722850971,0.0022159085683815427,0.8805538219952768
15,70.0,17,14,3.504961210421966,0.002392039637233164,0.8744151991052317
15,41.0,17,14,3.4276979573028883,0.002551946871483084,0.8658520824290721
15,71.0,17,14,3.4649656467301257,0.002612028704429806,0.867074424500012
15,72.0,17,14,3.423835548566327,0.0028592339185684683,0.8592245591517588
15,40.0,17,14,3.3312132123927722,0.003099476044426131,0.8484793295218818
15,73.0,17,14,3.386720290516395,0.003102992715040159,0.8518626466893066
15,74.0,17,14,3.3571943394097103,0.003313129915630465,0.8457974812962511
15,75.0,17,14,3.336059126160778,0.0034745492093178334,0.8413142291890147
15,76.0,17,14,3.3217366073849632,0.0035915814151887115,0.8381713580875011
15,77.0,17,14,3.3114722511822174,0.003681549067099149,0.8358302095805124
15,78.0,17,14,3.3024446133246266,0.0037653313629954104,0.8337046947448286
15,39.0,17,14,3.2336424848755128,0.0037654217579532355,0.8299424305318247
15,79.0,17,14,3.292435101842814,0.0038608152492641055,0.8313196539539289
61,44.0,17,14,3.26026298036333,0.004041488264425375,0.8258437821424068
61,45.0,17,14,3.2547551993874886,0.004113904387125385,0.824218108102003
61,43.0,17,14,3.2482359051408514,0.004132315784020177,0.8234367903016951
61,46.0,17,14,3.235059206176664,0.004318985414515162,0.8193678695864149
61,42.0,17,14,3.2188099728746504,0.004402239315405972,0.8168268846716443
61,47.0,17,14,3.207161005752732,0.004610070396193653,0.8126103994134267
15,38.0,17,14,3.1305874756263288,0.004632032783545416,0.8092639948008651
61,41.0,17,14,3.1748579437396915,0.004855714858719711,0.8063963015530672
1,46.0,17,14,3.2248681154670424,0.004886495571185655,0.8101376163632809
1,47.0,17,14,3.2238307932471915,0.004918518387836734,0.8096112604618289
61,48.0,17,14,3.1772715532908697,0.004933666013059931,0.8053407640273499
1,45.0,17,14,3.211061728616272,0.005007256348071254,0.8071940668786686
1,48.0,17,14,3.209875564213623,0.005084972514436415,0.8060571881126003
61,49.0,17,14,3.1493011329302085,0.00524961331005604,0.79848614027743
1,44.0,17,14,3.182624907505079,0.005292672547045403,0.8007060435284692
1,49.0,17,14,3.1863656817970383,0.00536203325619258,0.8001756855332903
61,40.0,17,14,3.1208070041048352,0.005483649101086278,0.7929740942365864
61,50.0,17,14,3.1238623415607742,0.005548212585819864,0.7922144677536056
1,50.0,17,14,3.1568558171644914,0.005724769540170022,0.792713095703288
1,43.0,17,14,3.1417697299602834,0.0057484951175788765,0.7909591096033672
61,51.0,17,14,3.099215972339168,0.005849067870173971,0.7860932773199254
15,37.0,17,14,3.0121994886703627,0.005923252963127668,0.7836619285568712
1,51.0,17,14,3.1239677238704195,0.006154310130959897,0.7842374584007996
